#,ID,GROUP,SYNTAX,EXAMPLE_1,EXPECT_1,EXAMPLE_2,EXPECT_2,EXAMPLE_3,EXPECT_3,EXAMPLE_4,EXPECT_4,DESCRIPTION
1,1,MUST,基本取值：${name} / $name,HOME=/Users/alice; print ${HOME}/projects,/Users/alice/projects,"FOO=bar; print ""X-$FOO-Y""",X-bar-Y,"name=world; print ""hello ${name}!""",hello world!,,,
2,2,MUST,默认值：${name:-word} / ${name-word},unset FOO; print ${FOO:-def},def,"FOO=""""; print ${FOO-def}",<FILL_ME>,"FOO=""x""; print ${FOO:-def}",x,,,带冒号的判空（unset 或空）；不带冒号只判 unset
3,3,MUST,赋默认并取值：${name:=word} / ${name=word} / ${name::=word},unset F; print ${F:=42}; print $F,42,,<FILL_ME>,"F=""""; print ${F=99}; print $F",99,X=0; print ${X::=7}; print $X,7.0,::= 在 zsh 中无条件赋值后取值
4,4,MUST,报错：${name:?word} / ${name?word},"unset E; { print ${E:?missing} } 2>&1 | sed -n ""1p""",missing,"E=""""; { print ${E?oops} } 2>&1 | sed -n ""1p""",oops,E=ok; print ${E:?missing},ok,,,
5,5,MUST,备选替换：${name:+word} / ${name+word},unset A; print X${A:+Y}Z,XZ,"A=""""; print X${A+Y}Z",XYZ,A=1; print X${A:+Y}Z,XYZ,,,
6,6,MUST,长度：${#spec}（标量字符数 / 数组元素数）,FOO=abcdef; print ${#FOO},6,arr=(a bb ccc); print ${#arr},3,arr=(a bb ccc); print ${(c)#arr},6,,,(c) 与 ${#name} 连用：按元素用空格连接后统计字符数
7,7,MUST,前缀删除：${name#pat} / ${name##pat},"S=""abc_abcd""; print ${S#a*c_}",abcd,"S=""abc_abcd""; print ${S##a*c_}",<FILL_ME>,"S=""foo.c""; print ${S##*.}",c,,,
8,8,MUST,后缀删除：${name%pat} / ${name%%pat},"S=""foo.c.bak""; print ${S%.*}",foo.c,"S=""foo.c.bak""; print ${S%%.*}",foo,"S=""path/to/dir/""; print ${S%/}",path/to/dir,,,
9,9,MUST,替换：${name/pat/repl}（首个） / ${name//pat/repl}（全局）,"S=""aba""; print ${S/a/X}",Xba,"S=""aba""; print ${S//a/X}",XbX,"S=""file.c""; print ${S/%.c/.o}",file.o,,,
10,10,MUST,替换：:s/l/r/（首个） / :gs/l/r/（全局） / :&（重复上次）,"S=""foo foo""; print ${S:s/foo/bar/}",bar foo,"S=""foo foo""; print ${S:gs/o/0/}",f00 f00,"S=""a b""; print ${S:s/b/x/:&}",a x,,,
11,11,MUST,锚定替换：${name/#pat/repl} / ${name/%pat/repl},"S=""abcabc""; print ${S/#ab/XX}",XXcabc,"S=""abcabc""; print ${S/%abc/XX}",abcXX,"S=""xabc""; print ${S/#abc/YY}",xabc,,,
12,12,MUST,Bash 兼容切片：${name:offset} / ${name:offset:length},"S=""abcdef""; print ${S:2}",cdef,"S=""abcdef""; print ${S:2:3}",cde,arr=(a b c d e); print -l ${arr:1:3},b⏎c⏎d,,,
13,13,MUST,"zsh 下标：$name[n] / $name[n,m]（对标量为子串）","S=""abcdef""; print $S[2,5]",bcde,arr=(a b c d); print $arr[2],b,"arr=(a b c d); print -l $arr[2,3]",b⏎c,,,
14,14,MUST,下标 flags：[(w)] 按词 / [(s:sep:)] 自定义分隔,"S=""a b  c""; print ${S[(w)2]}",b,"S=""x|y|z""; print ${S[(s:|:)3]}",z,"S=""a-b-c-d""; print ${S[(s:-:)2,3]}",b c,,,
15,15,MUST,下标检索：[(i)pat] 第一次匹配下标 / [(I)pat] 最后一次,arr=(alpha beta beta gamma); print ${arr[(i)beta]},2,arr=(alpha beta beta gamma); print ${arr[(I)beta]},3,"S=""a_b_c_b""; print ${S[(i)b]}",3,,,
16,16,MUST,路径：:h（目录） / :t（文件名） / :r（去扩展） / :e（取扩展）,"P=""/tmp/a.tar.gz""; print ${P:h}",/tmp,"P=""/tmp/a.tar.gz""; print ${P:t}",a.tar.gz,"P=""/tmp/a.tar.gz""; print ${P:r:e}",tar,,,
17,17,MUST,大小写：:l（lower） / :u（upper）,"S=""AbC""; print ${S:l}",abc,"S=""zsh rocks""; print ${S:u}",ZSH ROCKS,"S=""Mix""; print ${S:l:u}",MIX,,,
18,18,MUST,分割 / 连接：${(s:sep:)name} 与 ${(j:sep:)name},"S=""a,b,c""; print -l ${(s:,:)S}",a⏎b⏎c,"arr=(a b c); print ${(j:,: )arr}","a, b, c","S=""x|y|z""; print ${(j:-:)${(s:|:)S}}",x-y-z,,,
19,19,MUST,按行分割 / 按行连接：${(f)name} / ${(F)name},"S=""a⏎b⏎c""; print -l ${(f)S}",a⏎b⏎c,arr=(a b c); print ${(F)arr},a⏎b⏎c,,<FILL_ME>,,,
20,20,MUST,省略 name 的默认：${:-word},print ${:-hello},hello,"print ""pre${:-/tmp}/suf""",pre/tmp/suf,,<FILL_ME>,,,
21,21,LATER,目录名替换：${(D)name}（把 $HOME 等替换为 ~ 并转义）,"P=""$HOME/tmp/with space.txt""; print ${(D)P}",~/tmp/with\ space.txt,"arr=(""$HOME/a"" ""$HOME/b""); print ${(D)arr}",~/a ~/b,,,,,
22,22,LATER,非贪婪 / 第 N 次匹配：$(S) / $(I:n:) 与删除/替换配合,"S=""abab""; print ${(S)S/*b/_}",_ab,"S=""a_b_c_b""; print ${(I:2:)S//b/B}",a_B_c_B,"S=""axxxbxxx""; print ${(S)S#x*}",ab,,,(S) 取最短；(I:n:) 从第 n 次开始或仅第 n 次
23,23,LATER,下标取匹配值：[(r)pat] / [(R)pat],arr=(foo bar baz); print ${arr[(r)b*]},bar,"S=""abcbc""; print ${S[(r)bc]}",bc,arr=(aa bb aa); print ${arr[(R)aa]},aa,,,(R) 与 (r) 在数组上均可用于匹配值；细节参见手册
24,24,LATER,大小写：${(L)name} / ${(U)name} / ${(C)name},"S=""Abc def""; print ${(L)S}",abc def,"S=""abc def""; print ${(U)S}",ABC DEF,"S=""this is zsh""; print ${(C)S}",This Is Zsh,,,
